source,target,total
Captain Panaka,Republic Captain,4
Padme,Republic Captain,2
Republic Captain,Eirtae,2
Republic Captain,Yane,1
Republic Captain,Rabe,2
Ric Olie,Captain Panaka,5
Ric Olie,Qui-Gon Jinn,4
Ric Olie,Rebel Pilot,3
Captain Panaka,Rebel Pilot,3
Ric Olie,Battle Droid,3
Ric Olie,Jar Jar Binks,1
Ric Olie,Obi-Wan Kenobi,5
Rune,Darth Maul,5
Darth Vader,Rune,1
Darth Vader,Darth Maul,2
Queen,Darth Maul,3
Darth Maul,Nute Gunray,5
Darth Maul,Palpatine,10
Darth Vader,Queen,2
Darth Vader,Nute Gunray,4
Darth Vader,Palpatine,15
R2-D2,Qui-Gon Jinn,25
Captain Panaka,R2-D2,7
R2-D2,Obi-Wan Kenobi,50
R2-D2,Battle Droid,26
Queen,R2-D2,9
R2-D2,Padme Amidala,48
R2-D2,Padme,6
R2-D2,Eirtae,7
R2-D2,Rabe,4
R2-D2,Jar Jar Binks,26
Qui-Gon Jinn,Anakin Skywalker,34
Gardulla,Qui-Gon Jinn,1
Watto,Qui-Gon Jinn,11
Qui-Gon Jinn,Luke Skywalker,6
R2-D2,Anakin Skywalker,60
Battle Droid,Anakin Skywalker,41
Gardulla,Anakin Skywalker,1
Watto,Anakin Skywalker,12
Anakin Skywalker,Jar Jar Binks,28
Anakin Skywalker,Luke Skywalker,19
Padme Amidala,Anakin Skywalker,95
R2-D2,Gardulla,1
R2-D2,Watto,6
R2-D2,Luke Skywalker,40
Gardulla,Battle Droid,1
Watto,Battle Droid,4
Battle Droid,Luke Skywalker,4
Gardulla,Watto,1
Gardulla,Jar Jar Binks,1
Gardulla,Luke Skywalker,1
Gardulla,Padme Amidala,1
Watto,Jar Jar Binks,7
Watto,Luke Skywalker,2
Padme Amidala,Watto,8
Jar Jar Binks,Luke Skywalker,5
Padme Amidala,Luke Skywalker,4
Jabba the Hutt,Qui-Gon Jinn,3
Sebulba,Qui-Gon Jinn,6
Jabba the Hutt,Anakin Skywalker,4
Sebulba,Anakin Skywalker,9
Jabba the Hutt,Jar Jar Binks,3
Sebulba,Jar Jar Binks,5
Jabba the Hutt,Sebulba,3
Jabba the Hutt,R2-D2,4
Jabba the Hutt,Padme Amidala,3
Sebulba,R2-D2,5
Sebulba,Padme Amidala,5
Padme Amidala,Jira,1
Qui-Gon Jinn,Jira,2
Anakin Skywalker,Jira,2
Shmi,Qui-Gon Jinn,14
Shmi,Anakin Skywalker,19
Shmi,Jar Jar Binks,11
Shmi,Luke Skywalker,4
R2-D2,Shmi,10
Padme Amidala,Shmi,17
C-3P0,Shmi,3
Shmi,C-3PO,3
Shmi,Battle Droid,3
C-3P0,Anakin Skywalker,17
C-3P0,C-3PO,122
C-3P0,R2-D2,59
C-3P0,Battle Droid,3
C-3P0,Padme Amidala,19
C-3PO,Anakin Skywalker,17
R2-D2,C-3PO,59
Battle Droid,C-3PO,3
Padme Amidala,C-3PO,19
Rabe,Princess Leia,4
Queen Jamillia,Rabe,4
Shmi,Watto,6
Sebulba,Watto,4
Shmi,Obi-Wan Kenobi,2
Obi-Wan Kenobi,Anakin Skywalker,97
Qui-Gon Jinn,Seek,1
Qui-Gon Jinn,Wald,2
Qui-Gon Jinn,Amee,1
Qui-Gon Jinn,Kitster,8
Seek,Anakin Skywalker,1
Anakin Skywalker,Wald,2
Amee,Anakin Skywalker,1
Anakin Skywalker,Kitster,8
R2-D2,Seek,1
R2-D2,Wald,1
R2-D2,Amee,1
R2-D2,Kitster,8
Seek,Jar Jar Binks,1
Seek,Wald,1
Padme Amidala,Seek,1
Seek,Amee,1
Seek,Kitster,1
Wald,Jar Jar Binks,1
Amee,Jar Jar Binks,1
Kitster,Jar Jar Binks,7
Padme Amidala,Wald,1
Amee,Wald,1
Kitster,Wald,2
Padme Amidala,Amee,1
Padme Amidala,Kitster,7
Amee,Kitster,1
Yoda,Anakin Skywalker,18
Yoda,Luke Skywalker,11
Obi-Wan Kenobi,Luke Skywalker,41
Yoda,Shmi,1
Darth Maul,Battle Droid,5
Watto,Kitster,4
C-3P0,Qui-Gon Jinn,1
Qui-Gon Jinn,C-3PO,1
Sebulba,Shmi,4
Sebulba,C-3P0,1
Sebulba,C-3PO,1
Sebulba,Kitster,4
Shmi,Kitster,6
C-3P0,Watto,1
C-3P0,Jar Jar Binks,2
C-3P0,Kitster,2
Watto,C-3PO,1
C-3PO,Jar Jar Binks,2
C-3PO,Kitster,2
Darth Maul,Obi-Wan Kenobi,6
Fode/Beed,Anakin Skywalker,6
Boles Roor,Anakin Skywalker,1
Anakin Skywalker,Gasgano,2
Sebulba,Fode/Beed,5
Boles Roor,Fode/Beed,1
Fode/Beed,Gasgano,2
Sebulba,Boles Roor,1
Sebulba,Gasgano,2
Boles Roor,Gasgano,1
Jabba the Hutt,Fode/Beed,1
Ody Mandrell,Qui-Gon Jinn,2
Ody Mandrell,Anakin Skywalker,3
Sebulba,Ody Mandrell,3
Ody Mandrell,R2-D2,2
Ody Mandrell,Shmi,2
Ody Mandrell,Jar Jar Binks,2
Jabba the Hutt,Ody Mandrell,1
Ody Mandrell,Padme Amidala,2
Ody Mandrell,Kitster,2
Jabba the Hutt,Shmi,3
Jabba the Hutt,Kitster,2
Fode/Beed,Jar Jar Binks,4
Qui-Gon Jinn,Fode/Beed,3
Fode/Beed,Luke Skywalker,3
Padme Amidala,Fode/Beed,3
Shmi,Fode/Beed,3
Mawhonic,Anakin Skywalker,1
Anakin Skywalker,Tusken Raider,2
Mawhonic,Fode/Beed,1
Fode/Beed,Tusken Raider,1
Sebulba,Mawhonic,1
Sebulba,Tusken Raider,1
Mawhonic,Tusken Raider,1
Mawhonic,Gasgano,1
Tusken Raider,Gasgano,1
Qui-Gon Jinn,Fanta,2
R2-D2,Fanta,2
Shmi,Fanta,2
Fanta,Jar Jar Binks,2
Jabba the Hutt,Fanta,1
Padme Amidala,Fanta,2
Fanta,Kitster,2
Sebulba,Xelbree,1
Ody Mandrell,Xelbree,1
Xelbree,Anakin Skywalker,1
Qui-Gon Jinn,Ben Quadrinaros,1
Fanta,Anakin Skywalker,1
Anakin Skywalker,Ben Quadrinaros,2
Sebulba,Fanta,1
Sebulba,Ben Quadrinaros,1
R2-D2,Fode/Beed,2
R2-D2,Ben Quadrinaros,13
Shmi,Ben Quadrinaros,1
Watto,Fanta,1
Fode/Beed,Fanta,1
Fanta,Ben Quadrinaros,1
Watto,Fode/Beed,2
Watto,Ben Quadrinaros,1
Fode/Beed,Ben Quadrinaros,1
Fode/Beed,Kitster,2
Ben Quadrinaros,Jar Jar Binks,1
Padme Amidala,Ben Quadrinaros,1
Kitster,Ben Quadrinaros,1
Ody Mandrell,Battle Droid,1
Terter,Ody Mandrell,1
Ody Mandrell,Watto,1
Ody Mandrell,Fode/Beed,1
Ody Mandrell,Luke Skywalker,1
Terter,Qui-Gon Jinn,1
Terter,Anakin Skywalker,1
Sebulba,Battle Droid,1
Terter,Sebulba,1
Sebulba,Luke Skywalker,1
Terter,R2-D2,1
Terter,Battle Droid,1
Battle Droid,Fode/Beed,1
Battle Droid,Kitster,1
Terter,Shmi,1
Terter,Watto,1
Terter,Fode/Beed,1
Terter,Jar Jar Binks,1
Terter,Luke Skywalker,1
Terter,Padme Amidala,1
Terter,Kitster,1
Kitster,Luke Skywalker,1
Darth Maul,Anakin Skywalker,4
Qui-Gon Jinn,Sith Probe Droid,3
Watto,Sith Probe Droid,1
Battle Droid,Sith Probe Droid,6
R2-D2,Sith Probe Droid,2
Obi-Wan Kenobi,Sith Probe Droid,3
Padme Amidala,Sith Probe Droid,2
Qui-Gon Jinn,Greedo,1
Greedo,Anakin Skywalker,1
Greedo,Wald,1
Greedo,Kitster,1
Darth Maul,Qui-Gon Jinn,8
Darth Maul,Jira,1
Darth Maul,Sith Probe Droid,1
Palpatine,Anakin Skywalker,52
Anakin Skywalker,Sith Probe Droid,1
Battle Droid,Jira,1
Palpatine,Jira,1
Sith Probe Droid,Jira,1
Palpatine,Sith Probe Droid,1
Captain Panaka,Anakin Skywalker,12
Padme Amidala,Republic Captain,3
Republic Captain,Anakin Skywalker,7
Ric Olie,Anakin Skywalker,6
Ric Olie,Padme Amidala,1
Rebel Pilot,Anakin Skywalker,9
Rebel Pilot,Obi-Wan Kenobi,8
Padme Amidala,Rebel Pilot,4
Ric Olie,Watto,1
Watto,Obi-Wan Kenobi,1
Anakin Skywalker,Sio Bibble,4
R2-D2,Sio Bibble,2
Anakin Skywalker,Bespin Guards,19
Anakin Skywalker,Princess Leia,11
Queen,Anakin Skywalker,16
Anakin Skywalker,Queen Jamillia,6
Anakin Skywalker,Chancellor Valorum,2
Padme,Anakin Skywalker,12
Eirtae,Anakin Skywalker,9
Anakin Skywalker,Rabe,6
Bespin Guards,Princess Leia,5
Queen Jamillia,Bespin Guards,4
Chancellor Valorum,Bespin Guards,1
Palpatine,Bespin Guards,11
Chancellor Valorum,Princess Leia,1
Captain Panaka,Chancellor Valorum,3
Queen,Chancellor Valorum,4
Chancellor Valorum,Queen Jamillia,1
Chancellor Valorum,Jar Jar Binks,2
Padme Amidala,Chancellor Valorum,1
Padme,Chancellor Valorum,3
Palpatine,Chancellor Valorum,3
Eirtae,Chancellor Valorum,2
Chancellor Valorum,Rabe,2
Palpatine,Rabe,5
Yoda,Mace Windu,19
Qui-Gon Jinn,Mace Windu,3
Obi-Wan Kenobi,Mace Windu,17
Queen,Aks Moe,1
Queen,Mas Amedda,5
Queen,Bail Organa,5
Queen,Lott Dod,1
Aks Moe,Battle Droid,1
Aks Moe,Mas Amedda,1
Aks Moe,Chancellor Valorum,1
Aks Moe,Bail Organa,1
Captain Panaka,Aks Moe,1
Aks Moe,Padme,1
Aks Moe,Palpatine,1
Aks Moe,Lott Dod,1
Aks Moe,Rabe,1
Battle Droid,Mas Amedda,1
Battle Droid,Bail Organa,3
Battle Droid,Lott Dod,1
Chancellor Valorum,Mas Amedda,1
Mas Amedda,Bail Organa,5
Captain Panaka,Mas Amedda,1
Padme,Mas Amedda,5
Palpatine,Mas Amedda,11
Lott Dod,Mas Amedda,1
Mas Amedda,Rabe,1
Chancellor Valorum,Bail Organa,2
Chancellor Valorum,Lott Dod,1
Captain Panaka,Bail Organa,2
Padme,Bail Organa,4
Palpatine,Bail Organa,12
Lott Dod,Bail Organa,1
Rabe,Bail Organa,1
Captain Panaka,Lott Dod,1
Padme,Lott Dod,1
Palpatine,Lott Dod,1
Lott Dod,Rabe,1
Mace Windu,Anakin Skywalker,16
Jar Jar Binks,Bail Organa,6
Eirtae,Bail Organa,1
Mace Windu,Chancellor Valorum,1
Queen,Mace Windu,5
Yoda,Chancellor Valorum,1
Yoda,Queen,6
Stormtrooper,Qui-Gon Jinn,5
Stormtrooper,Anakin Skywalker,9
Stormtrooper,Bespin Guards,6
Stormtrooper,Captain Panaka,8
Stormtrooper,R2-D2,5
Stormtrooper,Obi-Wan Kenobi,12
Stormtrooper,Queen,7
Stormtrooper,Jar Jar Binks,5
Stormtrooper,Padme Amidala,11
Stormtrooper,Padme,3
Stormtrooper,Palpatine,6
Stormtrooper,Eirtae,6
R2-D2,Bespin Guards,8
R2-D2,Palpatine,11
Stormtrooper,Luke Skywalker,2
R2-D2,Republic Captain,4
Stormtrooper,Captain Tarpals,1
Stormtrooper,Republic Captain,2
Captain Tarpals,Republic Captain,1
Stormtrooper,Gungan Warrior,1
Stormtrooper,Boss Nass,1
Stormtrooper,Rabe,2
Gungan Warrior,Qui-Gon Jinn,1
Gungan Warrior,Anakin Skywalker,2
Boss Nass,Anakin Skywalker,4
Boss Nass,Bespin Guards,3
Gungan Warrior,Captain Panaka,2
Captain Panaka,Boss Nass,3
Gungan Warrior,R2-D2,2
R2-D2,Boss Nass,3
Gungan Warrior,Obi-Wan Kenobi,2
Queen,Gungan Warrior,2
Queen,Boss Nass,4
Gungan Warrior,Boss Nass,2
Gungan Warrior,Padme Amidala,2
Gungan Warrior,Padme,2
Gungan Warrior,Eirtae,1
Gungan Warrior,Rabe,1
Boss Nass,Padme Amidala,2
Boss Nass,Padme,2
Boss Nass,Eirtae,2
Boss Nass,Rabe,1
Rebel Pilot,Bespin Guards,3
R2-D2,Princess Leia,18
Rebel Pilot,Princess Leia,2
Boss Nass,Princess Leia,1
R2-D2,Queen Jamillia,1
R2-D2,Rebel Pilot,7
Queen,Rebel Pilot,2
Rebel Pilot,Queen Jamillia,1
Boss Nass,Queen Jamillia,1
Boss Nass,Rebel Pilot,1
Rebel Pilot,Jar Jar Binks,2
Rebel Pilot,Eirtae,2
Stormtrooper,Battle Droid,10
Gungan Warrior,Battle Droid,6
Stormtrooper,Rebel Pilot,1
Rebel Pilot,Battle Droid,4
Destroyer Droids,Stormtrooper,1
Stormtrooper,Darth Maul,1
Destroyer Droids,Qui-Gon Jinn,1
Destroyer Droids,Anakin Skywalker,3
Destroyer Droids,Captain Panaka,3
Captain Panaka,Darth Maul,1
Destroyer Droids,R2-D2,2
R2-D2,Darth Maul,1
Destroyer Droids,Battle Droid,7
Destroyer Droids,Obi-Wan Kenobi,2
Destroyer Droids,Republic Captain,1
Darth Maul,Republic Captain,1
Palpatine,Republic Captain,3
Destroyer Droids,Queen,1
Destroyer Droids,Darth Maul,1
Destroyer Droids,Padme Amidala,3
Destroyer Droids,Palpatine,2
Darth Maul,Padme Amidala,1
Ric Olie,Bravo Two,4
Bravo Two,Battle Droid,2
Destroyer Droids,Gungan Warrior,3
Destroyer Droids,Jar Jar Binks,3
Ric Olie,R2-D2,2
Bravo Two,Anakin Skywalker,2
Bravo Two,R2-D2,2
Stormtrooper,Rune,1
Stormtrooper,Nute Gunray,2
Darth Vader,Qui-Gon Jinn,1
Darth Vader,Obi-Wan Kenobi,12
Dofine,Tey How,1
Ric Olie,Bravo Three,2
Bravo Two,Bravo Three,2
Bravo Three,Anakin Skywalker,1
R2-D2,Bravo Three,1
Stormtrooper,Rune Haako,1
Yoda,Stormtrooper,2
Bespin Guards,Rune Haako,2
Yoda,Rune Haako,1
Captain Panaka,Rune Haako,1
Queen,Rune Haako,1
Obi-Wan Kenobi,Rune Haako,2
Padme,Rune Haako,1
Padme Amidala,Rune Haako,1
Nute Gunray,Rune Haako,4
Palpatine,Rune Haako,2
Yoda,Bespin Guards,4
Yoda,Captain Panaka,2
Yoda,Padme,4
Yoda,Padme Amidala,7
Yoda,Nute Gunray,1
Yoda,Palpatine,14
Captain Panaka,Mace Windu,1
Mace Windu,Sio Bibble,1
Boss Nass,Mace Windu,1
Palpatine,Mace Windu,7
Yoda,Sio Bibble,1
Yoda,Boss Nass,1
Boss Nass,Sio Bibble,2
Boss Nass,Palpatine,2
Gungan Warrior,Sio Bibble,1
Gungan Warrior,Palpatine,1
Count Dooku,Queen,4
Count Dooku,Padme,4
Dorme,Bespin Guards,3
Queen,Dorme,4
R2-D2,Dorme,2
Captain Typho,Dorme,6
Rebel Pilot,Dorme,1
Dorme,Jar Jar Binks,5
Padme,Dorme,4
Dorme,Corde,1
Captain Typho,Bespin Guards,3
Corde,Bespin Guards,1
Queen,Captain Typho,4
Queen,Corde,1
Captain Typho,R2-D2,4
R2-D2,Corde,1
Captain Typho,Rebel Pilot,1
Captain Typho,Jar Jar Binks,5
Captain Typho,Padme,5
Captain Typho,Corde,1
Padme,Rebel Pilot,1
Rebel Pilot,Corde,1
Corde,Jar Jar Binks,1
Padme,Corde,1
Darsana,Dorme,1
Orn Free Taa,Dorme,2
Dorme,Mas Amedda,2
Dorme,Ask Aak,1
Palpatine,Dorme,2
Queen,Darsana,1
Queen,Orn Free Taa,3
Queen,Ask Aak,2
Orn Free Taa,Darsana,1
Darsana,Mas Amedda,1
Darsana,Ask Aak,1
Captain Typho,Darsana,1
Darsana,Jar Jar Binks,1
Padme,Darsana,1
Darsana,Palpatine,1
Orn Free Taa,Mas Amedda,3
Orn Free Taa,Ask Aak,1
Captain Typho,Orn Free Taa,2
Orn Free Taa,Jar Jar Binks,3
Padme,Orn Free Taa,3
Orn Free Taa,Palpatine,3
Ask Aak,Mas Amedda,2
Captain Typho,Mas Amedda,3
Jar Jar Binks,Mas Amedda,5
Captain Typho,Ask Aak,1
Jar Jar Binks,Ask Aak,2
Padme,Ask Aak,2
Palpatine,Ask Aak,2
Captain Typho,Palpatine,3
Mace Windu,Plo Koon,4
Orn Free Taa,Mace Windu,1
Count Dooku,Mace Windu,7
Mace Windu,Bail Organa,3
Padme,Mace Windu,3
Dar Wac,Mace Windu,1
Dorme,Mace Windu,2
Mace Windu,Bespin Guards,1
Mace Windu,Mas Amedda,2
Captain Typho,Mace Windu,2
Mace Windu,Jar Jar Binks,4
Yoda,Plo Koon,4
Orn Free Taa,Plo Koon,1
Count Dooku,Plo Koon,1
Bail Organa,Plo Koon,1
Padme,Plo Koon,2
Dar Wac,Plo Koon,1
Dorme,Plo Koon,1
Bespin Guards,Plo Koon,1
Queen,Plo Koon,2
Obi-Wan Kenobi,Plo Koon,4
Mas Amedda,Plo Koon,1
Captain Typho,Plo Koon,1
Jar Jar Binks,Plo Koon,1
Palpatine,Plo Koon,2
Yoda,Orn Free Taa,1
Yoda,Count Dooku,6
Yoda,Bail Organa,15
Yoda,Dar Wac,1
Yoda,Dorme,2
Yoda,Mas Amedda,6
Yoda,Captain Typho,1
Yoda,Jar Jar Binks,3
Count Dooku,Orn Free Taa,1
Orn Free Taa,Bail Organa,1
Orn Free Taa,Dar Wac,1
Orn Free Taa,Bespin Guards,1
Orn Free Taa,Obi-Wan Kenobi,1
Count Dooku,Bail Organa,4
Count Dooku,Dar Wac,1
Count Dooku,Dorme,1
Count Dooku,Bespin Guards,4
Count Dooku,Mas Amedda,2
Count Dooku,Captain Typho,1
Count Dooku,Palpatine,13
Dar Wac,Bail Organa,1
Dorme,Bail Organa,1
Bespin Guards,Bail Organa,4
Obi-Wan Kenobi,Bail Organa,14
Captain Typho,Bail Organa,2
Padme,Dar Wac,1
Dar Wac,Dorme,1
Dar Wac,Bespin Guards,2
Queen,Dar Wac,1
Dar Wac,Obi-Wan Kenobi,1
Dar Wac,Mas Amedda,1
Captain Typho,Dar Wac,1
Dar Wac,Jar Jar Binks,1
Dar Wac,Palpatine,1
Obi-Wan Kenobi,Dorme,4
Mas Amedda,Bespin Guards,3
Obi-Wan Kenobi,Mas Amedda,3
Captain Typho,Obi-Wan Kenobi,6
Dorme,Anakin Skywalker,4
Padme Amidala,Dorme,4
Captain Typho,Anakin Skywalker,6
Captain Typho,Padme Amidala,8
Captain Typho,Battle Droid,1
Battle Droid,Dorme,1
Zam Wessel,Anakin Skywalker,4
Yoda,Zam Wessel,1
Zam Wessel,Battle Droid,2
Zam Wessel,Obi-Wan Kenobi,4
Yoda,Battle Droid,9
Zam Wessel,Elan Sleazebaggano,1
Obi-Wan Kenobi,Elan Sleazebaggano,1
Anakin Skywalker,Elan Sleazebaggano,1
Padme Amidala,Mace Windu,7
Obi-Wan Kenobi,Dexter Jettster,1
Count Dooku,Anakin Skywalker,19
Nute Gunray,Anakin Skywalker,8
Count Dooku,Princess Leia,1
Nute Gunray,Princess Leia,1
Count Dooku,Queen Jamillia,1
Nute Gunray,Queen Jamillia,1
Count Dooku,Sio Bibble,1
Count Dooku,Padme Amidala,12
Count Dooku,Nute Gunray,4
Count Dooku,Jocasta Nu,1
Jocasta Nu,Obi-Wan Kenobi,1
Ryoo,Anakin Skywalker,1
R2-D2,Ryoo,1
Padme Amidala,Ryoo,1
Ryoo,Pooja,1
Anakin Skywalker,Pooja,1
R2-D2,Pooja,1
Padme Amidala,Pooja,1
Jobal,Anakin Skywalker,2
Ruwee,Jobal,1
Padme Amidala,Jobal,2
Shmi,Jobal,2
Jobal,Sola,2
Ruwee,Anakin Skywalker,3
Anakin Skywalker,Sola,2
Padme Amidala,Ruwee,1
Shmi,Ruwee,1
Ruwee,Sola,1
Padme Amidala,Sola,2
Shmi,Sola,2
Jedi Child May,Battle Droid,1
Jedi Child May,Jedi Child Jack,1
Jedi Child May,Yoda,1
Jedi Child May,Obi-Wan Kenobi,1
Battle Droid,Jedi Child Jack,1
Yoda,Jedi Child Jack,1
Obi-Wan Kenobi,Jedi Child Jack,1
Taun We,Obi-Wan Kenobi,9
Taun We,Lama Su,5
Taun We,Sifo-Dyas,1
Obi-Wan Kenobi,Lama Su,7
Obi-Wan Kenobi,Sifo-Dyas,1
Lama Su,Sifo-Dyas,1
Lama Su,Jango Fett,1
Clone Troopers,Lama Su,3
Taun We,Jango Fett,4
Taun We,Clone Troopers,2
Clone Troopers,Jango Fett,1
Obi-Wan Kenobi,Jango Fett,12
Clone Troopers,Obi-Wan Kenobi,15
Boba Fett,Lama Su,1
Taun We,Boba Fett,3
Boba Fett,Clone Troopers,2
Boba Fett,Obi-Wan Kenobi,12
Boba Fett,Jango Fett,10
Count Dooku,Taun We,1
Count Dooku,Jango Fett,5
Count Dooku,Boba Fett,5
Yoda,Taun We,1
Yoda,Jango Fett,2
Yoda,Boba Fett,3
Anakin Skywalker,Cliegg Lars,3
Owen Lars,Anakin Skywalker,5
Anakin Skywalker,Beru Lars,3
Shmi,Cliegg Lars,1
Owen Lars,Cliegg Lars,3
Beru Lars,Cliegg Lars,4
C-3P0,Cliegg Lars,2
C-3PO,Cliegg Lars,2
Padme Amidala,Cliegg Lars,3
Owen Lars,Shmi,1
Shmi,Beru Lars,1
Owen Lars,Beru Lars,9
C-3P0,Owen Lars,8
